name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Toy Story 2,1999,"245,852,179","239,163,000","485,015,179"
Bruce Almighty,2003,"242,829,261","241,743,574","484,572,835"
Shrek,2001,"267,665,011","216,744,207","484,409,218"
Jaws,1975,"272,257,035","210,653,000","482,910,035"
Rise of the Planet of the Apes,2011,"176,760,185","306,100,000","482,860,185"
Saving Private Ryan,1998,"216,540,909","265,300,000","481,840,909"
Mr. & Mrs. Smith,2005,"186,336,279","291,871,241","478,207,520"
Aladdin,2019,"355,559,216","121,000,000","476,559,216"
Charlie and the Chocolate Factory,2005,"206,459,076","268,509,687","474,968,763"
Star Wars: Episode VI - Return of the Jedi,1983,"309,125,409","165,800,000","474,925,409"
Indiana Jones and the Last Crusade,1989,"197,171,806","277,000,000","474,171,806"
San Andreas,2015,"155,190,832","318,800,000","473,990,832"
Hotel Transylvania 2,2015,"169,700,110","303,526,848","473,226,958"
Wreck-It Ralph,2012,"189,422,889","281,800,000","471,222,889"
The LEGO Movie,2014,"257,760,692","211,000,000","468,760,692"
Hotel Transylvania 3: Summer Vacation,2018,"167,500,092","300,000,000","467,500,092"
The Hangover,2009,"277,322,503","190,161,409","467,483,912"
Star Trek: Into Darkness,2013,"228,778,661","238,586,585","467,365,246"
The Matrix,1999,"171,479,930","292,037,453","463,517,383"
Pretty Woman,1990,"178,406,268","285,000,000","463,406,268"
Cars,2006,"244,082,982","217,898,144","461,981,126"
Minions: The Rise of Gru,2022,"367,108,580","93,772,000","460,880,580"
X-Men: The Last Stand,2006,"234,362,462","224,997,093","459,359,555"
Lucy,2014/I,"126,663,600","332,200,000","458,863,600"
Mission: Impossible,1996,"180,981,856","276,714,503","457,696,359"
Gladiator,2000,"187,705,427","269,935,000","457,640,427"
National Treasure: Book of Secrets,2007,"219,964,115","237,400,485","457,364,600"
The Last Samurai,2003,"111,110,575","345,631,718","456,742,293"
300,2006,"210,614,939","245,453,242","456,068,181"
Ocean's Eleven,2001,"183,417,150","267,300,000","450,717,150"
Pearl Harbor,2001,"198,542,554","250,678,391","449,220,945"
Tarzan,1999,"171,091,819","277,100,000","448,191,819"
The Meg,2018,"143,005,856","303,300,000","446,305,856"
La La Land,2016/I,"151,101,803","294,535,116","445,636,919"
Alvin and the Chipmunks: The Squeakquel,2009,"219,614,612","223,525,393","443,140,005"
The Bourne Ultimatum,2007,"227,471,070","215,353,068","442,824,138"
Men in Black II,2002,"190,418,803","251,400,000","441,818,803"
Les Misérables,2012,"148,809,770","293,000,000","441,809,770"
The Exorcist,1973,"232,906,145","208,400,000","441,306,145"
Mrs. Doubtfire,1993,"219,200,000","222,090,952","441,290,952"
Terminator Genisys,2015,"89,760,956","350,842,581","440,603,537"
How to Train Your Dragon: The Hidden World,2019,"160,799,505","277,700,000","438,499,505"
Toy Story 4,2019,"434,038,008",0,"434,038,008"
Warcraft,2016,"47,365,290","386,311,893","433,677,183"
Terminator 3: Rise of the Machines,2003,"150,371,112","283,000,000","433,371,112"
The Mummy Returns,2001,"202,019,785","230,993,489","433,013,274"
Die Another Day,2002,"160,942,139","271,028,977","431,971,116"
Ready Player One,2018,"137,018,455","294,400,000","431,418,455"
The King's Speech,2010,"138,797,449","292,023,717","430,821,166"
Thor,2011,"181,030,624","249,510,315","430,540,939"
Cast Away,2000,"233,632,142","196,000,000","429,632,142"
The Matrix Revolutions,2003,"139,313,948","288,029,350","427,343,298"
Intouchables,2011,"13,182,281","413,298,590","426,480,871"
Beauty and the Beast,1991,"218,967,620","207,000,000","425,967,620"
Django Unchained,2012,"162,805,434","262,562,804","425,368,238"
Dances with Wolves,1990,"184,208,848","240,000,000","424,208,848"
The Chronicles of Narnia: Prince Caspian,2008,"141,621,490","278,029,923","419,651,413"
Detective Chinatown 2,2018,"1,983,984","417,000,000","418,983,984"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"104,386,950","313,800,000","418,186,950"
It Chapter Two,2019,"211,593,228","205,900,000","417,493,228"
Jason Bourne,2016,"162,434,410","253,050,504","415,484,914"
Sex and the City,2008,"152,647,258","262,605,528","415,252,786"
The Wolverine,2013,"132,556,852","282,271,394","414,828,246"
Kingsman: The Secret Service,2014,"128,261,724","286,089,822","414,351,546"
Night at the Museum: Battle of the Smithsonian,2009,"177,243,721","235,862,449","413,106,170"
Batman,1989,"251,188,924","160,160,000","411,348,924"
Pacific Rim,2013,"101,802,906","309,200,000","411,002,906"
The Bodyguard,1992,"121,945,720","289,000,000","410,945,720"
Ice Age: Collision Course,2016,"64,063,008","344,516,030","408,579,038"
Signs,2002,"227,966,634","180,281,283","408,247,917"
X2,2003,"214,949,694","192,761,855","407,711,549"
Rampage,2018,"99,345,950","307,400,000","406,745,950"
The Mummy,2017,"80,101,125","325,314,775","405,415,900"
